data,canal,consentimento,month,year
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,1,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-01-01,App,0,1,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,1,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
2020-02-01,App,0,2,2020
